+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6113   |
|  epoch 2  |   0.5062   |
|  epoch 3  |   0.4701   |
|  epoch 4  |   0.4451   |
|  epoch 5  |   0.4346   |
|  epoch 6  |   0.4205   |
|  epoch 7  |   0.4087   |
|  epoch 8  |   0.3955   |
|  epoch 9  |   0.3862   |
|  epoch 10 |   0.3743   |
|  epoch 11 |   0.3633   |
|  epoch 12 |   0.3548   |
|  epoch 13 |   0.3396   |
|  epoch 14 |   0.3338   |
|  epoch 15 |   0.3203   |
|  epoch 16 |   0.3151   |
|  epoch 17 |   0.3001   |
|  epoch 18 |   0.2958   |
|  epoch 19 |   0.2863   |
|  epoch 20 |   0.2747   |
|  epoch 21 |   0.2672   |
|  epoch 22 |   0.2635   |
|  epoch 23 |   0.2543   |
|  epoch 24 |   0.2478   |
|  epoch 25 |   0.2409   |
|  epoch 26 |   0.2315   |
|  epoch 27 |   0.2286   |
|  epoch 28 |   0.2201   |
|  epoch 29 |   0.2131   |
|  epoch 30 |   0.2086   |
|  epoch 31 |   0.2023   |
|  epoch 32 |   0.2000   |
|  epoch 33 |   0.1906   |
|  epoch 34 |   0.1884   |
|  epoch 35 |   0.1854   |
|  epoch 36 |   0.1788   |
|  epoch 37 |   0.1739   |
|  epoch 38 |   0.1681   |
|  epoch 39 |   0.1699   |
|  epoch 40 |   0.1593   |
|  epoch 41 |   0.1566   |
|  epoch 42 |   0.1543   |
|  epoch 43 |   0.1570   |
|  epoch 44 |   0.1499   |
|  epoch 45 |   0.1412   |
|  epoch 46 |   0.1372   |
|  epoch 47 |   0.1358   |
|  epoch 48 |   0.1349   |
|  epoch 49 |   0.1319   |
|  epoch 50 |   0.1311   |
|  epoch 51 |   0.1244   |
|  epoch 52 |   0.1275   |
|  epoch 53 |   0.1211   |
|  epoch 54 |   0.1195   |
|  epoch 55 |   0.1207   |
|  epoch 56 |   0.1114   |
|  epoch 57 |   0.1185   |
|  epoch 58 |   0.1074   |
|  epoch 59 |   0.1053   |
|  epoch 60 |   0.1048   |
|  epoch 61 |   0.1041   |
|  epoch 62 |   0.1052   |
|  epoch 63 |   0.0973   |
|  epoch 64 |   0.0973   |
|  epoch 65 |   0.0954   |
|  epoch 66 |   0.0961   |
|  epoch 67 |   0.0957   |
|  epoch 68 |   0.0963   |
|  epoch 69 |   0.0890   |
|  epoch 70 |   0.0898   |
|  epoch 71 |   0.0822   |
|  epoch 72 |   0.0846   |
|  epoch 73 |   0.0878   |
|  epoch 74 |   0.0800   |
|  epoch 75 |   0.0851   |
|  epoch 76 |   0.0808   |
|  epoch 77 |   0.0828   |
|  epoch 78 |   0.0824   |
|  epoch 79 |   0.0752   |
|  epoch 80 |   0.0780   |
|  epoch 81 |   0.0765   |
|  epoch 82 |   0.0768   |
|  epoch 83 |   0.0723   |
|  epoch 84 |   0.0760   |
|  epoch 85 |   0.0701   |
|  epoch 86 |   0.0668   |
|  epoch 87 |   0.0697   |
|  epoch 88 |   0.0745   |
|  epoch 89 |   0.0645   |
|  epoch 90 |   0.0622   |
|  epoch 91 |   0.0685   |
|  epoch 92 |   0.0635   |
|  epoch 93 |   0.0650   |
|  epoch 94 |   0.0598   |
|  epoch 95 |   0.0670   |
|  epoch 96 |   0.0609   |
|  epoch 97 |   0.0587   |
|  epoch 98 |   0.0590   |
|  epoch 99 |   0.0589   |
| epoch 100 |   0.0572   |
| epoch 101 |   0.0588   |
| epoch 102 |   0.0560   |
| epoch 103 |   0.0597   |
| epoch 104 |   0.0545   |
| epoch 105 |   0.0558   |
| epoch 106 |   0.0529   |
| epoch 107 |   0.0566   |
| epoch 108 |   0.0506   |
| epoch 109 |   0.0568   |
| epoch 110 |   0.0530   |
| epoch 111 |   0.0497   |
| epoch 112 |   0.0517   |
| epoch 113 |   0.0490   |
| epoch 114 |   0.0513   |
| epoch 115 |   0.0499   |
| epoch 116 |   0.0483   |
| epoch 117 |   0.0468   |
| epoch 118 |   0.0496   |
| epoch 119 |   0.0466   |
| epoch 120 |   0.0430   |
| epoch 121 |   0.0491   |
| epoch 122 |   0.0456   |
| epoch 123 |   0.0453   |
| epoch 124 |   0.0422   |
| epoch 125 |   0.0442   |
| epoch 126 |   0.0445   |
| epoch 127 |   0.0417   |
| epoch 128 |   0.0480   |
| epoch 129 |   0.0383   |
| epoch 130 |   0.0476   |
| epoch 131 |   0.0448   |
| epoch 132 |   0.0411   |
| epoch 133 |   0.0361   |
| epoch 134 |   0.0362   |
| epoch 135 |   0.0425   |
| epoch 136 |   0.0428   |
| epoch 137 |   0.0371   |
| epoch 138 |   0.0382   |
| epoch 139 |   0.0391   |
| epoch 140 |   0.0420   |
| epoch 141 |   0.0382   |
| epoch 142 |   0.0368   |
| epoch 143 |   0.0379   |
| epoch 144 |   0.0387   |
| epoch 145 |   0.0351   |
| epoch 146 |   0.0403   |
| epoch 147 |   0.0362   |
| epoch 148 |   0.0335   |
| epoch 149 |   0.0343   |
| epoch 150 |   0.0363   |
+-----------+------------+
