Metric,Mean,Std
AUROC,0.9225520636180711,0.0017108776116695468
AUPRC,0.8958849081595985,0.0021266749677568354
F1,0.8148416514679466,0.005619516767136906
Sensitivity,0.8110947471772214,0.02191309778330672
Specificity,0.8731876517516476,0.014765197067630374
Accuracy,0.8474796747967481,0.0029526861459081098
Precision,0.8193735502270035,0.013670504234509752
