Metric,Mean,Std
AUROC,0.8740634155524271,0.0025352101473497973
AUPRC,0.8793978504083476,0.0039926036377648235
F1,0.79178765167606,0.009567490544710197
Sensitivity,0.779330422125182,0.04107576979133575
Specificity,0.811511839708561,0.041223809348380006
Accuracy,0.795412342981977,0.003143511770493261
Precision,0.8077181061116662,0.027265845465610818
