Metric,Mean,Std
AUROC,0.8303401201892939,0.005993364813576514
AUPRC,0.8375603037620438,0.004163491336367627
F1,0.7265254335269478,0.015052409378198614
Sensitivity,0.6762267021681247,0.04999747882748461
Specificity,0.8316340782122905,0.04765384823151021
Accuracy,0.757254687784453,0.0058251410708785875
Precision,0.7905501096639369,0.033733303073625764
