Metric,Mean,Std
AUROC,0.9214176777483363,0.0
AUPRC,0.8972085497398834,0.0
F1,0.8063916759568935,0.0
Sensitivity,0.7989690721649485,0.0
Specificity,0.8709677419354839,0.0
Accuracy,0.8411585365853659,0.0
Precision,0.813953488372093,0.0
