Metric,Mean,Std
AUROC,0.8722027658451031,0.0006387669047079712
AUPRC,0.8775857642026544,0.001335500511879788
F1,0.7840337942026734,0.01769785217898768
Sensitivity,0.7688482632541134,0.06779720250837189
Specificity,0.8119013062409289,0.06416982167766279
Accuracy,0.7904571116372245,0.004226665286579112
Precision,0.8083675290727879,0.044536877397262066
