+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5612   |
|  epoch 2  |   0.4961   |
|  epoch 3  |   0.4742   |
|  epoch 4  |   0.4569   |
|  epoch 5  |   0.4412   |
|  epoch 6  |   0.4245   |
|  epoch 7  |   0.4057   |
|  epoch 8  |   0.3878   |
|  epoch 9  |   0.3706   |
|  epoch 10 |   0.3579   |
|  epoch 11 |   0.3401   |
|  epoch 12 |   0.3285   |
|  epoch 13 |   0.3126   |
|  epoch 14 |   0.2995   |
|  epoch 15 |   0.2901   |
|  epoch 16 |   0.2724   |
|  epoch 17 |   0.2610   |
|  epoch 18 |   0.2507   |
|  epoch 19 |   0.2408   |
|  epoch 20 |   0.2316   |
|  epoch 21 |   0.2187   |
|  epoch 22 |   0.2098   |
|  epoch 23 |   0.2001   |
|  epoch 24 |   0.1959   |
|  epoch 25 |   0.1849   |
|  epoch 26 |   0.1781   |
|  epoch 27 |   0.1707   |
|  epoch 28 |   0.1665   |
|  epoch 29 |   0.1529   |
|  epoch 30 |   0.1494   |
|  epoch 31 |   0.1480   |
|  epoch 32 |   0.1409   |
|  epoch 33 |   0.1316   |
|  epoch 34 |   0.1280   |
|  epoch 35 |   0.1228   |
|  epoch 36 |   0.1227   |
|  epoch 37 |   0.1144   |
|  epoch 38 |   0.1121   |
|  epoch 39 |   0.1048   |
|  epoch 40 |   0.0990   |
|  epoch 41 |   0.0964   |
|  epoch 42 |   0.0909   |
|  epoch 43 |   0.0886   |
|  epoch 44 |   0.0900   |
|  epoch 45 |   0.0871   |
|  epoch 46 |   0.0795   |
|  epoch 47 |   0.0788   |
|  epoch 48 |   0.0798   |
|  epoch 49 |   0.0777   |
|  epoch 50 |   0.0751   |
|  epoch 51 |   0.0698   |
|  epoch 52 |   0.0668   |
|  epoch 53 |   0.0689   |
|  epoch 54 |   0.0672   |
|  epoch 55 |   0.0627   |
|  epoch 56 |   0.0598   |
|  epoch 57 |   0.0594   |
|  epoch 58 |   0.0625   |
|  epoch 59 |   0.0578   |
|  epoch 60 |   0.0583   |
|  epoch 61 |   0.0570   |
|  epoch 62 |   0.0591   |
|  epoch 63 |   0.0537   |
|  epoch 64 |   0.0527   |
|  epoch 65 |   0.0505   |
|  epoch 66 |   0.0471   |
|  epoch 67 |   0.0489   |
|  epoch 68 |   0.0492   |
|  epoch 69 |   0.0470   |
|  epoch 70 |   0.0445   |
|  epoch 71 |   0.0499   |
|  epoch 72 |   0.0439   |
|  epoch 73 |   0.0435   |
|  epoch 74 |   0.0463   |
|  epoch 75 |   0.0445   |
|  epoch 76 |   0.0379   |
|  epoch 77 |   0.0406   |
|  epoch 78 |   0.0421   |
|  epoch 79 |   0.0421   |
|  epoch 80 |   0.0366   |
|  epoch 81 |   0.0460   |
|  epoch 82 |   0.0372   |
|  epoch 83 |   0.0341   |
|  epoch 84 |   0.0417   |
|  epoch 85 |   0.0364   |
|  epoch 86 |   0.0407   |
|  epoch 87 |   0.0353   |
|  epoch 88 |   0.0330   |
|  epoch 89 |   0.0389   |
|  epoch 90 |   0.0325   |
|  epoch 91 |   0.0367   |
|  epoch 92 |   0.0309   |
|  epoch 93 |   0.0336   |
|  epoch 94 |   0.0393   |
|  epoch 95 |   0.0292   |
|  epoch 96 |   0.0342   |
|  epoch 97 |   0.0302   |
|  epoch 98 |   0.0305   |
|  epoch 99 |   0.0276   |
| epoch 100 |   0.0271   |
| epoch 101 |   0.0307   |
| epoch 102 |   0.0343   |
| epoch 103 |   0.0353   |
| epoch 104 |   0.0314   |
| epoch 105 |   0.0265   |
| epoch 106 |   0.0272   |
| epoch 107 |   0.0247   |
| epoch 108 |   0.0312   |
| epoch 109 |   0.0328   |
| epoch 110 |   0.0263   |
| epoch 111 |   0.0268   |
| epoch 112 |   0.0261   |
| epoch 113 |   0.0340   |
| epoch 114 |   0.0271   |
| epoch 115 |   0.0273   |
| epoch 116 |   0.0267   |
| epoch 117 |   0.0235   |
| epoch 118 |   0.0281   |
| epoch 119 |   0.0295   |
| epoch 120 |   0.0233   |
| epoch 121 |   0.0231   |
| epoch 122 |   0.0239   |
| epoch 123 |   0.0223   |
| epoch 124 |   0.0246   |
| epoch 125 |   0.0268   |
| epoch 126 |   0.0288   |
| epoch 127 |   0.0240   |
| epoch 128 |   0.0212   |
| epoch 129 |   0.0209   |
| epoch 130 |   0.0223   |
| epoch 131 |   0.0225   |
| epoch 132 |   0.0237   |
| epoch 133 |   0.0225   |
| epoch 134 |   0.0216   |
| epoch 135 |   0.0228   |
| epoch 136 |   0.0216   |
| epoch 137 |   0.0194   |
| epoch 138 |   0.0185   |
| epoch 139 |   0.0220   |
| epoch 140 |   0.0247   |
| epoch 141 |   0.0217   |
| epoch 142 |   0.0237   |
| epoch 143 |   0.0252   |
| epoch 144 |   0.0197   |
| epoch 145 |   0.0187   |
| epoch 146 |   0.0184   |
| epoch 147 |   0.0214   |
| epoch 148 |   0.0242   |
| epoch 149 |   0.0182   |
| epoch 150 |   0.0203   |
+-----------+------------+
