+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6407   |
|  epoch 2  |   0.5528   |
|  epoch 3  |   0.5190   |
|  epoch 4  |   0.4987   |
|  epoch 5  |   0.4922   |
|  epoch 6  |   0.4812   |
|  epoch 7  |   0.4737   |
|  epoch 8  |   0.4651   |
|  epoch 9  |   0.4585   |
|  epoch 10 |   0.4532   |
|  epoch 11 |   0.4494   |
|  epoch 12 |   0.4406   |
|  epoch 13 |   0.4376   |
|  epoch 14 |   0.4324   |
|  epoch 15 |   0.4216   |
|  epoch 16 |   0.4177   |
|  epoch 17 |   0.4136   |
|  epoch 18 |   0.4056   |
|  epoch 19 |   0.4038   |
|  epoch 20 |   0.3970   |
|  epoch 21 |   0.3882   |
|  epoch 22 |   0.3864   |
|  epoch 23 |   0.3790   |
|  epoch 24 |   0.3729   |
|  epoch 25 |   0.3693   |
|  epoch 26 |   0.3616   |
|  epoch 27 |   0.3595   |
|  epoch 28 |   0.3502   |
|  epoch 29 |   0.3452   |
|  epoch 30 |   0.3425   |
|  epoch 31 |   0.3388   |
|  epoch 32 |   0.3300   |
|  epoch 33 |   0.3299   |
|  epoch 34 |   0.3231   |
|  epoch 35 |   0.3200   |
|  epoch 36 |   0.3129   |
|  epoch 37 |   0.3087   |
|  epoch 38 |   0.3079   |
|  epoch 39 |   0.3044   |
|  epoch 40 |   0.2969   |
|  epoch 41 |   0.2933   |
|  epoch 42 |   0.2857   |
|  epoch 43 |   0.2853   |
|  epoch 44 |   0.2826   |
|  epoch 45 |   0.2759   |
|  epoch 46 |   0.2782   |
|  epoch 47 |   0.2748   |
|  epoch 48 |   0.2661   |
|  epoch 49 |   0.2672   |
|  epoch 50 |   0.2586   |
|  epoch 51 |   0.2578   |
|  epoch 52 |   0.2504   |
|  epoch 53 |   0.2514   |
|  epoch 54 |   0.2488   |
|  epoch 55 |   0.2415   |
|  epoch 56 |   0.2394   |
|  epoch 57 |   0.2348   |
|  epoch 58 |   0.2321   |
|  epoch 59 |   0.2359   |
|  epoch 60 |   0.2259   |
|  epoch 61 |   0.2254   |
|  epoch 62 |   0.2244   |
|  epoch 63 |   0.2179   |
|  epoch 64 |   0.2184   |
|  epoch 65 |   0.2088   |
|  epoch 66 |   0.2064   |
|  epoch 67 |   0.2068   |
|  epoch 68 |   0.2054   |
|  epoch 69 |   0.2033   |
|  epoch 70 |   0.1970   |
|  epoch 71 |   0.1960   |
|  epoch 72 |   0.1954   |
|  epoch 73 |   0.1954   |
|  epoch 74 |   0.1895   |
|  epoch 75 |   0.1878   |
|  epoch 76 |   0.1806   |
|  epoch 77 |   0.1813   |
|  epoch 78 |   0.1835   |
|  epoch 79 |   0.1790   |
|  epoch 80 |   0.1754   |
|  epoch 81 |   0.1747   |
|  epoch 82 |   0.1715   |
|  epoch 83 |   0.1717   |
|  epoch 84 |   0.1742   |
|  epoch 85 |   0.1640   |
|  epoch 86 |   0.1602   |
|  epoch 87 |   0.1655   |
|  epoch 88 |   0.1630   |
|  epoch 89 |   0.1556   |
|  epoch 90 |   0.1557   |
|  epoch 91 |   0.1556   |
|  epoch 92 |   0.1490   |
|  epoch 93 |   0.1514   |
|  epoch 94 |   0.1536   |
|  epoch 95 |   0.1480   |
|  epoch 96 |   0.1489   |
|  epoch 97 |   0.1444   |
|  epoch 98 |   0.1403   |
|  epoch 99 |   0.1367   |
| epoch 100 |   0.1375   |
| epoch 101 |   0.1425   |
| epoch 102 |   0.1349   |
| epoch 103 |   0.1336   |
| epoch 104 |   0.1321   |
| epoch 105 |   0.1283   |
| epoch 106 |   0.1308   |
| epoch 107 |   0.1294   |
| epoch 108 |   0.1289   |
| epoch 109 |   0.1233   |
| epoch 110 |   0.1200   |
| epoch 111 |   0.1274   |
| epoch 112 |   0.1156   |
| epoch 113 |   0.1195   |
| epoch 114 |   0.1194   |
| epoch 115 |   0.1175   |
| epoch 116 |   0.1162   |
| epoch 117 |   0.1167   |
| epoch 118 |   0.1157   |
| epoch 119 |   0.1132   |
| epoch 120 |   0.1090   |
| epoch 121 |   0.1069   |
| epoch 122 |   0.1085   |
| epoch 123 |   0.1066   |
| epoch 124 |   0.1094   |
| epoch 125 |   0.1036   |
| epoch 126 |   0.1047   |
| epoch 127 |   0.1044   |
| epoch 128 |   0.1019   |
| epoch 129 |   0.0981   |
| epoch 130 |   0.1026   |
| epoch 131 |   0.1012   |
| epoch 132 |   0.0982   |
| epoch 133 |   0.0936   |
| epoch 134 |   0.0965   |
| epoch 135 |   0.0967   |
| epoch 136 |   0.0945   |
| epoch 137 |   0.0914   |
| epoch 138 |   0.0951   |
| epoch 139 |   0.0923   |
| epoch 140 |   0.0893   |
| epoch 141 |   0.0888   |
| epoch 142 |   0.0868   |
| epoch 143 |   0.0829   |
| epoch 144 |   0.0858   |
| epoch 145 |   0.0858   |
| epoch 146 |   0.0850   |
| epoch 147 |   0.0880   |
| epoch 148 |   0.0799   |
| epoch 149 |   0.0792   |
| epoch 150 |   0.0791   |
+-----------+------------+
