+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6088   |
|  epoch 2  |   0.5115   |
|  epoch 3  |   0.4732   |
|  epoch 4  |   0.4532   |
|  epoch 5  |   0.4384   |
|  epoch 6  |   0.4219   |
|  epoch 7  |   0.4150   |
|  epoch 8  |   0.3992   |
|  epoch 9  |   0.3871   |
|  epoch 10 |   0.3719   |
|  epoch 11 |   0.3663   |
|  epoch 12 |   0.3489   |
|  epoch 13 |   0.3398   |
|  epoch 14 |   0.3227   |
|  epoch 15 |   0.3200   |
|  epoch 16 |   0.3076   |
|  epoch 17 |   0.3008   |
|  epoch 18 |   0.2890   |
|  epoch 19 |   0.2821   |
|  epoch 20 |   0.2696   |
|  epoch 21 |   0.2635   |
|  epoch 22 |   0.2550   |
|  epoch 23 |   0.2515   |
|  epoch 24 |   0.2385   |
|  epoch 25 |   0.2337   |
|  epoch 26 |   0.2270   |
|  epoch 27 |   0.2224   |
|  epoch 28 |   0.2172   |
|  epoch 29 |   0.2105   |
|  epoch 30 |   0.2124   |
|  epoch 31 |   0.1954   |
|  epoch 32 |   0.1969   |
|  epoch 33 |   0.1917   |
|  epoch 34 |   0.1808   |
|  epoch 35 |   0.1731   |
|  epoch 36 |   0.1755   |
|  epoch 37 |   0.1720   |
|  epoch 38 |   0.1596   |
|  epoch 39 |   0.1628   |
|  epoch 40 |   0.1563   |
|  epoch 41 |   0.1555   |
|  epoch 42 |   0.1559   |
|  epoch 43 |   0.1395   |
|  epoch 44 |   0.1384   |
|  epoch 45 |   0.1431   |
|  epoch 46 |   0.1365   |
|  epoch 47 |   0.1323   |
|  epoch 48 |   0.1310   |
|  epoch 49 |   0.1231   |
|  epoch 50 |   0.1334   |
|  epoch 51 |   0.1245   |
|  epoch 52 |   0.1165   |
|  epoch 53 |   0.1209   |
|  epoch 54 |   0.1134   |
|  epoch 55 |   0.1137   |
|  epoch 56 |   0.1083   |
|  epoch 57 |   0.1075   |
|  epoch 58 |   0.1056   |
|  epoch 59 |   0.1019   |
|  epoch 60 |   0.1040   |
|  epoch 61 |   0.1052   |
|  epoch 62 |   0.1055   |
|  epoch 63 |   0.0967   |
|  epoch 64 |   0.0922   |
|  epoch 65 |   0.0918   |
|  epoch 66 |   0.0914   |
|  epoch 67 |   0.0912   |
|  epoch 68 |   0.0939   |
|  epoch 69 |   0.0873   |
|  epoch 70 |   0.0855   |
|  epoch 71 |   0.0892   |
|  epoch 72 |   0.0789   |
|  epoch 73 |   0.0907   |
|  epoch 74 |   0.0826   |
|  epoch 75 |   0.0765   |
|  epoch 76 |   0.0759   |
|  epoch 77 |   0.0754   |
|  epoch 78 |   0.0777   |
|  epoch 79 |   0.0722   |
|  epoch 80 |   0.0790   |
|  epoch 81 |   0.0696   |
|  epoch 82 |   0.0735   |
|  epoch 83 |   0.0728   |
|  epoch 84 |   0.0693   |
|  epoch 85 |   0.0654   |
|  epoch 86 |   0.0668   |
|  epoch 87 |   0.0686   |
|  epoch 88 |   0.0664   |
|  epoch 89 |   0.0619   |
|  epoch 90 |   0.0654   |
|  epoch 91 |   0.0602   |
|  epoch 92 |   0.0563   |
|  epoch 93 |   0.0575   |
|  epoch 94 |   0.0619   |
|  epoch 95 |   0.0592   |
|  epoch 96 |   0.0573   |
|  epoch 97 |   0.0545   |
|  epoch 98 |   0.0596   |
|  epoch 99 |   0.0549   |
| epoch 100 |   0.0559   |
| epoch 101 |   0.0565   |
| epoch 102 |   0.0569   |
| epoch 103 |   0.0542   |
| epoch 104 |   0.0476   |
| epoch 105 |   0.0566   |
| epoch 106 |   0.0517   |
| epoch 107 |   0.0499   |
| epoch 108 |   0.0492   |
| epoch 109 |   0.0533   |
| epoch 110 |   0.0512   |
| epoch 111 |   0.0465   |
| epoch 112 |   0.0490   |
| epoch 113 |   0.0479   |
| epoch 114 |   0.0521   |
| epoch 115 |   0.0535   |
| epoch 116 |   0.0462   |
| epoch 117 |   0.0477   |
| epoch 118 |   0.0407   |
| epoch 119 |   0.0464   |
| epoch 120 |   0.0480   |
| epoch 121 |   0.0454   |
| epoch 122 |   0.0439   |
| epoch 123 |   0.0410   |
| epoch 124 |   0.0437   |
| epoch 125 |   0.0393   |
| epoch 126 |   0.0445   |
| epoch 127 |   0.0430   |
| epoch 128 |   0.0391   |
| epoch 129 |   0.0374   |
| epoch 130 |   0.0398   |
| epoch 131 |   0.0422   |
| epoch 132 |   0.0433   |
| epoch 133 |   0.0379   |
| epoch 134 |   0.0399   |
| epoch 135 |   0.0388   |
| epoch 136 |   0.0431   |
| epoch 137 |   0.0368   |
| epoch 138 |   0.0377   |
| epoch 139 |   0.0362   |
| epoch 140 |   0.0347   |
| epoch 141 |   0.0389   |
| epoch 142 |   0.0359   |
| epoch 143 |   0.0341   |
| epoch 144 |   0.0356   |
| epoch 145 |   0.0336   |
| epoch 146 |   0.0349   |
| epoch 147 |   0.0354   |
| epoch 148 |   0.0403   |
| epoch 149 |   0.0340   |
| epoch 150 |   0.0362   |
+-----------+------------+
