+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5617   |
|  epoch 2  |   0.4991   |
|  epoch 3  |   0.4752   |
|  epoch 4  |   0.4568   |
|  epoch 5  |   0.4422   |
|  epoch 6  |   0.4285   |
|  epoch 7  |   0.4131   |
|  epoch 8  |   0.3968   |
|  epoch 9  |   0.3807   |
|  epoch 10 |   0.3663   |
|  epoch 11 |   0.3511   |
|  epoch 12 |   0.3379   |
|  epoch 13 |   0.3251   |
|  epoch 14 |   0.3121   |
|  epoch 15 |   0.3020   |
|  epoch 16 |   0.2896   |
|  epoch 17 |   0.2788   |
|  epoch 18 |   0.2686   |
|  epoch 19 |   0.2538   |
|  epoch 20 |   0.2466   |
|  epoch 21 |   0.2294   |
|  epoch 22 |   0.2237   |
|  epoch 23 |   0.2138   |
|  epoch 24 |   0.2026   |
|  epoch 25 |   0.1943   |
|  epoch 26 |   0.1877   |
|  epoch 27 |   0.1782   |
|  epoch 28 |   0.1701   |
|  epoch 29 |   0.1608   |
|  epoch 30 |   0.1582   |
|  epoch 31 |   0.1496   |
|  epoch 32 |   0.1409   |
|  epoch 33 |   0.1383   |
|  epoch 34 |   0.1325   |
|  epoch 35 |   0.1268   |
|  epoch 36 |   0.1252   |
|  epoch 37 |   0.1174   |
|  epoch 38 |   0.1085   |
|  epoch 39 |   0.1034   |
|  epoch 40 |   0.0978   |
|  epoch 41 |   0.0989   |
|  epoch 42 |   0.0955   |
|  epoch 43 |   0.0906   |
|  epoch 44 |   0.0919   |
|  epoch 45 |   0.0896   |
|  epoch 46 |   0.0817   |
|  epoch 47 |   0.0773   |
|  epoch 48 |   0.0769   |
|  epoch 49 |   0.0725   |
|  epoch 50 |   0.0712   |
|  epoch 51 |   0.0726   |
|  epoch 52 |   0.0698   |
|  epoch 53 |   0.0663   |
|  epoch 54 |   0.0689   |
|  epoch 55 |   0.0628   |
|  epoch 56 |   0.0619   |
|  epoch 57 |   0.0593   |
|  epoch 58 |   0.0590   |
|  epoch 59 |   0.0524   |
|  epoch 60 |   0.0578   |
|  epoch 61 |   0.0567   |
|  epoch 62 |   0.0615   |
|  epoch 63 |   0.0526   |
|  epoch 64 |   0.0536   |
|  epoch 65 |   0.0525   |
|  epoch 66 |   0.0473   |
|  epoch 67 |   0.0447   |
|  epoch 68 |   0.0499   |
|  epoch 69 |   0.0490   |
|  epoch 70 |   0.0506   |
|  epoch 71 |   0.0460   |
|  epoch 72 |   0.0422   |
|  epoch 73 |   0.0421   |
|  epoch 74 |   0.0416   |
|  epoch 75 |   0.0442   |
|  epoch 76 |   0.0467   |
|  epoch 77 |   0.0337   |
|  epoch 78 |   0.0394   |
|  epoch 79 |   0.0431   |
|  epoch 80 |   0.0346   |
|  epoch 81 |   0.0413   |
|  epoch 82 |   0.0392   |
|  epoch 83 |   0.0421   |
|  epoch 84 |   0.0372   |
|  epoch 85 |   0.0341   |
|  epoch 86 |   0.0375   |
|  epoch 87 |   0.0368   |
|  epoch 88 |   0.0312   |
|  epoch 89 |   0.0351   |
|  epoch 90 |   0.0344   |
|  epoch 91 |   0.0348   |
|  epoch 92 |   0.0355   |
|  epoch 93 |   0.0328   |
|  epoch 94 |   0.0312   |
|  epoch 95 |   0.0324   |
|  epoch 96 |   0.0314   |
|  epoch 97 |   0.0326   |
|  epoch 98 |   0.0355   |
|  epoch 99 |   0.0325   |
| epoch 100 |   0.0332   |
| epoch 101 |   0.0285   |
| epoch 102 |   0.0238   |
| epoch 103 |   0.0261   |
| epoch 104 |   0.0387   |
| epoch 105 |   0.0296   |
| epoch 106 |   0.0287   |
| epoch 107 |   0.0311   |
| epoch 108 |   0.0309   |
| epoch 109 |   0.0296   |
| epoch 110 |   0.0232   |
| epoch 111 |   0.0305   |
| epoch 112 |   0.0256   |
| epoch 113 |   0.0215   |
| epoch 114 |   0.0271   |
| epoch 115 |   0.0313   |
| epoch 116 |   0.0247   |
| epoch 117 |   0.0239   |
| epoch 118 |   0.0218   |
| epoch 119 |   0.0280   |
| epoch 120 |   0.0279   |
| epoch 121 |   0.0227   |
| epoch 122 |   0.0226   |
| epoch 123 |   0.0267   |
| epoch 124 |   0.0301   |
| epoch 125 |   0.0267   |
| epoch 126 |   0.0188   |
| epoch 127 |   0.0213   |
| epoch 128 |   0.0197   |
| epoch 129 |   0.0224   |
| epoch 130 |   0.0256   |
| epoch 131 |   0.0248   |
| epoch 132 |   0.0263   |
| epoch 133 |   0.0202   |
| epoch 134 |   0.0177   |
| epoch 135 |   0.0182   |
| epoch 136 |   0.0186   |
| epoch 137 |   0.0273   |
| epoch 138 |   0.0291   |
| epoch 139 |   0.0218   |
| epoch 140 |   0.0227   |
| epoch 141 |   0.0199   |
| epoch 142 |   0.0173   |
| epoch 143 |   0.0216   |
| epoch 144 |   0.0183   |
| epoch 145 |   0.0183   |
| epoch 146 |   0.0197   |
| epoch 147 |   0.0157   |
| epoch 148 |   0.0191   |
| epoch 149 |   0.0193   |
| epoch 150 |   0.0225   |
+-----------+------------+
