+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5614   |
|  epoch 2  |   0.4953   |
|  epoch 3  |   0.4710   |
|  epoch 4  |   0.4550   |
|  epoch 5  |   0.4370   |
|  epoch 6  |   0.4215   |
|  epoch 7  |   0.4082   |
|  epoch 8  |   0.3877   |
|  epoch 9  |   0.3739   |
|  epoch 10 |   0.3620   |
|  epoch 11 |   0.3479   |
|  epoch 12 |   0.3315   |
|  epoch 13 |   0.3187   |
|  epoch 14 |   0.2997   |
|  epoch 15 |   0.2889   |
|  epoch 16 |   0.2725   |
|  epoch 17 |   0.2615   |
|  epoch 18 |   0.2518   |
|  epoch 19 |   0.2358   |
|  epoch 20 |   0.2259   |
|  epoch 21 |   0.2154   |
|  epoch 22 |   0.2076   |
|  epoch 23 |   0.1974   |
|  epoch 24 |   0.1877   |
|  epoch 25 |   0.1816   |
|  epoch 26 |   0.1760   |
|  epoch 27 |   0.1647   |
|  epoch 28 |   0.1591   |
|  epoch 29 |   0.1549   |
|  epoch 30 |   0.1497   |
|  epoch 31 |   0.1398   |
|  epoch 32 |   0.1368   |
|  epoch 33 |   0.1314   |
|  epoch 34 |   0.1268   |
|  epoch 35 |   0.1213   |
|  epoch 36 |   0.1210   |
|  epoch 37 |   0.1150   |
|  epoch 38 |   0.1113   |
|  epoch 39 |   0.1059   |
|  epoch 40 |   0.1042   |
|  epoch 41 |   0.0998   |
|  epoch 42 |   0.0946   |
|  epoch 43 |   0.0959   |
|  epoch 44 |   0.0897   |
|  epoch 45 |   0.0883   |
|  epoch 46 |   0.0833   |
|  epoch 47 |   0.0835   |
|  epoch 48 |   0.0814   |
|  epoch 49 |   0.0798   |
|  epoch 50 |   0.0726   |
|  epoch 51 |   0.0713   |
|  epoch 52 |   0.0707   |
|  epoch 53 |   0.0722   |
|  epoch 54 |   0.0679   |
|  epoch 55 |   0.0721   |
|  epoch 56 |   0.0634   |
|  epoch 57 |   0.0666   |
|  epoch 58 |   0.0596   |
|  epoch 59 |   0.0644   |
|  epoch 60 |   0.0591   |
|  epoch 61 |   0.0520   |
|  epoch 62 |   0.0573   |
|  epoch 63 |   0.0519   |
|  epoch 64 |   0.0508   |
|  epoch 65 |   0.0584   |
|  epoch 66 |   0.0548   |
|  epoch 67 |   0.0486   |
|  epoch 68 |   0.0529   |
|  epoch 69 |   0.0521   |
|  epoch 70 |   0.0513   |
|  epoch 71 |   0.0499   |
|  epoch 72 |   0.0424   |
|  epoch 73 |   0.0446   |
|  epoch 74 |   0.0508   |
|  epoch 75 |   0.0442   |
|  epoch 76 |   0.0407   |
|  epoch 77 |   0.0416   |
|  epoch 78 |   0.0418   |
|  epoch 79 |   0.0477   |
|  epoch 80 |   0.0417   |
|  epoch 81 |   0.0408   |
|  epoch 82 |   0.0365   |
|  epoch 83 |   0.0358   |
|  epoch 84 |   0.0350   |
|  epoch 85 |   0.0393   |
|  epoch 86 |   0.0402   |
|  epoch 87 |   0.0441   |
|  epoch 88 |   0.0399   |
|  epoch 89 |   0.0333   |
|  epoch 90 |   0.0334   |
|  epoch 91 |   0.0342   |
|  epoch 92 |   0.0313   |
|  epoch 93 |   0.0351   |
|  epoch 94 |   0.0347   |
|  epoch 95 |   0.0347   |
|  epoch 96 |   0.0342   |
|  epoch 97 |   0.0338   |
|  epoch 98 |   0.0292   |
|  epoch 99 |   0.0273   |
| epoch 100 |   0.0304   |
| epoch 101 |   0.0335   |
| epoch 102 |   0.0325   |
| epoch 103 |   0.0284   |
| epoch 104 |   0.0271   |
| epoch 105 |   0.0252   |
| epoch 106 |   0.0300   |
| epoch 107 |   0.0383   |
| epoch 108 |   0.0304   |
| epoch 109 |   0.0258   |
| epoch 110 |   0.0267   |
| epoch 111 |   0.0276   |
| epoch 112 |   0.0297   |
| epoch 113 |   0.0260   |
| epoch 114 |   0.0307   |
| epoch 115 |   0.0270   |
| epoch 116 |   0.0244   |
| epoch 117 |   0.0211   |
| epoch 118 |   0.0248   |
| epoch 119 |   0.0261   |
| epoch 120 |   0.0245   |
| epoch 121 |   0.0315   |
| epoch 122 |   0.0273   |
| epoch 123 |   0.0244   |
| epoch 124 |   0.0243   |
| epoch 125 |   0.0222   |
| epoch 126 |   0.0241   |
| epoch 127 |   0.0221   |
| epoch 128 |   0.0285   |
| epoch 129 |   0.0213   |
| epoch 130 |   0.0202   |
| epoch 131 |   0.0191   |
| epoch 132 |   0.0231   |
| epoch 133 |   0.0291   |
| epoch 134 |   0.0270   |
| epoch 135 |   0.0213   |
| epoch 136 |   0.0235   |
| epoch 137 |   0.0181   |
| epoch 138 |   0.0196   |
| epoch 139 |   0.0177   |
| epoch 140 |   0.0218   |
| epoch 141 |   0.0224   |
| epoch 142 |   0.0224   |
| epoch 143 |   0.0263   |
| epoch 144 |   0.0216   |
| epoch 145 |   0.0259   |
| epoch 146 |   0.0192   |
| epoch 147 |   0.0197   |
| epoch 148 |   0.0170   |
| epoch 149 |   0.0256   |
| epoch 150 |   0.0233   |
+-----------+------------+
