seed,AUC,AUPRC,F1,Sensitivity,Specificity,Accuracy,threshold
42,0.8391624191061947,0.8670150951164526,0.7714285714285715,0.7996343692870201,0.7285921625544267,0.763977417592424,0.35945130436817535
52,0.8407946232650452,0.868670970343504,0.7734457323498419,0.8051188299817185,0.7253265602322206,0.7650701147331997,0.35485766288775716
62,0.8412755417463775,0.8683931856886078,0.7728911319394376,0.7839122486288849,0.7572568940493469,0.7705336004370789,0.37875613155253435
72,0.8397753414189549,0.8677328274814728,0.7738010021474588,0.7904936014625229,0.7492743105950653,0.7698051356765616,0.3733801759276802
82,0.8401092646789587,0.8674000522034023,0.7722699835375891,0.7718464351005484,0.7746734397677794,0.7732653432890184,0.392525075887338
