,mean,std
AUC,0.8402234380431061,0.000832580639689035
AUPRC,0.8678424261666879,0.0006859308940772933
F1,0.7727672842805797,0.0009465282328998937
Sensitivity,0.790201096892139,0.013115393336587037
Specificity,0.7470246734397679,0.020523030110709325
Accuracy,0.7685303223456565,0.0038974566670975635
threshold,0.371794070124697,0.015165308993635133
