Epoch	Time(sec)	Loss_train	val_AUROC	val_AUPRC	val_F1	val_Sensitivity	val_Specificity	val_Accuracy	test_AUROC	test_AUPRC	test_F1	test_Sensitivity	test_Specificity	test_Accuracy
1	234.73375309980474	23306.06798169948	0.6000965612479935	0.505434407840801	0.15091066782307025	0.08626673277144274	0.9603858077850499	0.6020325203252033	0.5921031918826207	0.4952457772320314	0.1506615450277422	0.08666830346182175	0.9548846087107409	0.5953639690931273
2	477.10523259988986	22731.531868254766	0.6112172438509663	0.5236539224659253	0.237829209896249	0.14774417451660882	0.9342059937995177	0.6117886178861789	0.6066437225646697	0.5097243258901972	0.23315047021943575	0.14608396759145592	0.924344959222627	0.6020740138267588
3	719.8106634998694	22512.03952319082	0.6116960366679982	0.5258519932755381	0.4131881427707199	0.33862171541893904	0.7912504305890458	0.6056910569105691	0.6101685409078862	0.5160926493036543	0.40787706996867074	0.3356248465504542	0.7808433107756377	0.5964823098820659
4	958.120083599817	22391.992763751186	0.6142603577479813	0.5288389969402996	0.45898064867811394	0.41745166088249874	0.7209782983120909	0.5965447154471545	0.6086944028038701	0.5141179202841349	0.4491114701130856	0.4095261478026025	0.7072705188269999	0.5839772265148434
5	1191.0330558000132	22294.135484395083	0.6142127944165943	0.5272039240642377	0.3691604050963737	0.28011898859692613	0.8349982776438167	0.607520325203252	0.611302198353926	0.5171724734177503	0.37769611759066946	0.29020378099680827	0.8257851813291688	0.6040056933712892
6	1426.0970635998528	22251.862668323214	0.6119651921806224	0.5240107378308065	0.48252996684519256	0.4690133862171542	0.6699965552876335	0.5876016260162602	0.6107311732664403	0.5163262378504763	0.4850163686728784	0.4728701203044439	0.6628492104806525	0.5841805612037414
7	1665.3740532998927	22208.0724829901	0.6123497976466312	0.5252383498516309	0.4340425531914894	0.37927615270203274	0.7440578711677575	0.5945121951219512	0.6115075006926132	0.5176960135706815	0.44141612812587805	0.38571077829609623	0.7442304355370467	0.5957706384709232
8	1904.927711499855	22160.509252000367	0.6116868997264212	0.5261734061987153	0.4491830517862088	0.40208230044620724	0.7302790217016879	0.5957317073170731	0.6119794958389745	0.5178362088275791	0.4561929418176863	0.4109992634421802	0.7237549887211522	0.5942456283041887
9	2146.7915668999776	22145.84315501037	0.6109674723172018	0.5255262852685703	0.2962962962962963	0.20029747149231533	0.8945918015845676	0.609959349593496	0.6104864634441911	0.5173840850056124	0.28824273072060685	0.195924380063835	0.8844351900052057	0.5993289955266369
10	2387.7979899998754	21948.795005412772	0.6088875799247561	0.5265431666339623	0.4832750873689466	0.47992067426871593	0.6482948673785739	0.5792682926829268	0.609055843982833	0.516100332285621	0.4870105655686762	0.48097225632212126	0.6507027589796981	0.5804188694591297
11	2627.215940499911	21917.68595687207	0.6091990044661713	0.5257003867417986	0.46736292428198434	0.443728309370352	0.683775404753703	0.5853658536585366	0.6098243112136359	0.517007814661484	0.46938511326860843	0.4451264424257304	0.6808953669963561	0.5832655551037007
12	2810.5861715998035	21902.069838755764	0.6083441453808661	0.5251638005919343	0.47098271859685326	0.4526524541398116	0.6737857388908026	0.583130081300813	0.6093887200615489	0.5159054587286364	0.47354904982023627	0.4527375398968819	0.6753427034530627	0.5831638877592518
13	2986.1734888998326	21872.66930429265	0.6062815875598235	0.5236258159398931	0.39553813687066625	0.3252354982647496	0.7781605235962797	0.592479674796748	0.6090504121405041	0.5155690190321014	0.4114691102571682	0.341762828382028	0.7742495228179768	0.5951606344042294
14	3188.930233699968	21834.08193946164	0.6047090942968235	0.5219929629114662	0.44584936778449696	0.40208230044620724	0.7209782983120909	0.5902439024390244	0.6090838978508607	0.5160219478438464	0.4510788438051296	0.4080530321630248	0.7164671178205796	0.5887555917039446
15	3393.0859870000277	21828.316918855533	0.6056104920097873	0.5226653190090269	0.37377875827292784	0.29400099157164106	0.8060626937650707	0.5961382113821139	0.6089386865992701	0.5154807305301541	0.3919210607462226	0.3120549963172109	0.8018393197987159	0.5990239934932899
