+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6321   |
|  epoch 2  |   0.5407   |
|  epoch 3  |   0.5115   |
|  epoch 4  |   0.4927   |
|  epoch 5  |   0.4812   |
|  epoch 6  |   0.4750   |
|  epoch 7  |   0.4647   |
|  epoch 8  |   0.4578   |
|  epoch 9  |   0.4528   |
|  epoch 10 |   0.4469   |
|  epoch 11 |   0.4421   |
|  epoch 12 |   0.4362   |
|  epoch 13 |   0.4303   |
|  epoch 14 |   0.4263   |
|  epoch 15 |   0.4192   |
|  epoch 16 |   0.4180   |
|  epoch 17 |   0.4070   |
|  epoch 18 |   0.3993   |
|  epoch 19 |   0.3948   |
|  epoch 20 |   0.3878   |
|  epoch 21 |   0.3851   |
|  epoch 22 |   0.3779   |
|  epoch 23 |   0.3707   |
|  epoch 24 |   0.3666   |
|  epoch 25 |   0.3563   |
|  epoch 26 |   0.3517   |
|  epoch 27 |   0.3465   |
|  epoch 28 |   0.3454   |
|  epoch 29 |   0.3441   |
|  epoch 30 |   0.3355   |
|  epoch 31 |   0.3290   |
|  epoch 32 |   0.3261   |
|  epoch 33 |   0.3223   |
|  epoch 34 |   0.3159   |
|  epoch 35 |   0.3148   |
|  epoch 36 |   0.3084   |
|  epoch 37 |   0.3057   |
|  epoch 38 |   0.2950   |
|  epoch 39 |   0.2941   |
|  epoch 40 |   0.2949   |
|  epoch 41 |   0.2894   |
|  epoch 42 |   0.2841   |
|  epoch 43 |   0.2768   |
|  epoch 44 |   0.2741   |
|  epoch 45 |   0.2712   |
|  epoch 46 |   0.2659   |
|  epoch 47 |   0.2667   |
|  epoch 48 |   0.2563   |
|  epoch 49 |   0.2572   |
|  epoch 50 |   0.2527   |
|  epoch 51 |   0.2474   |
|  epoch 52 |   0.2514   |
|  epoch 53 |   0.2407   |
|  epoch 54 |   0.2376   |
|  epoch 55 |   0.2388   |
|  epoch 56 |   0.2310   |
|  epoch 57 |   0.2341   |
|  epoch 58 |   0.2272   |
|  epoch 59 |   0.2254   |
|  epoch 60 |   0.2191   |
|  epoch 61 |   0.2152   |
|  epoch 62 |   0.2096   |
|  epoch 63 |   0.2109   |
|  epoch 64 |   0.2053   |
|  epoch 65 |   0.2053   |
|  epoch 66 |   0.1974   |
|  epoch 67 |   0.2016   |
|  epoch 68 |   0.1981   |
|  epoch 69 |   0.1957   |
|  epoch 70 |   0.1960   |
|  epoch 71 |   0.1826   |
|  epoch 72 |   0.1856   |
|  epoch 73 |   0.1798   |
|  epoch 74 |   0.1796   |
|  epoch 75 |   0.1771   |
|  epoch 76 |   0.1780   |
|  epoch 77 |   0.1751   |
|  epoch 78 |   0.1789   |
|  epoch 79 |   0.1725   |
|  epoch 80 |   0.1692   |
|  epoch 81 |   0.1700   |
|  epoch 82 |   0.1638   |
|  epoch 83 |   0.1630   |
|  epoch 84 |   0.1607   |
|  epoch 85 |   0.1592   |
|  epoch 86 |   0.1554   |
|  epoch 87 |   0.1563   |
|  epoch 88 |   0.1545   |
|  epoch 89 |   0.1544   |
|  epoch 90 |   0.1474   |
|  epoch 91 |   0.1441   |
|  epoch 92 |   0.1452   |
|  epoch 93 |   0.1437   |
|  epoch 94 |   0.1385   |
|  epoch 95 |   0.1379   |
|  epoch 96 |   0.1389   |
|  epoch 97 |   0.1335   |
|  epoch 98 |   0.1329   |
|  epoch 99 |   0.1314   |
| epoch 100 |   0.1313   |
| epoch 101 |   0.1283   |
| epoch 102 |   0.1285   |
| epoch 103 |   0.1256   |
| epoch 104 |   0.1228   |
| epoch 105 |   0.1269   |
| epoch 106 |   0.1191   |
| epoch 107 |   0.1219   |
| epoch 108 |   0.1177   |
| epoch 109 |   0.1210   |
| epoch 110 |   0.1133   |
| epoch 111 |   0.1129   |
| epoch 112 |   0.1087   |
| epoch 113 |   0.1092   |
| epoch 114 |   0.1109   |
| epoch 115 |   0.1133   |
| epoch 116 |   0.1078   |
| epoch 117 |   0.1085   |
| epoch 118 |   0.1052   |
| epoch 119 |   0.1058   |
| epoch 120 |   0.1069   |
| epoch 121 |   0.0978   |
| epoch 122 |   0.0995   |
| epoch 123 |   0.0996   |
| epoch 124 |   0.0916   |
| epoch 125 |   0.1014   |
| epoch 126 |   0.0945   |
| epoch 127 |   0.0935   |
| epoch 128 |   0.0947   |
| epoch 129 |   0.0966   |
| epoch 130 |   0.0923   |
| epoch 131 |   0.0887   |
| epoch 132 |   0.0895   |
| epoch 133 |   0.0906   |
| epoch 134 |   0.0846   |
| epoch 135 |   0.0888   |
| epoch 136 |   0.0873   |
| epoch 137 |   0.0811   |
| epoch 138 |   0.0870   |
| epoch 139 |   0.0839   |
| epoch 140 |   0.0794   |
| epoch 141 |   0.0843   |
| epoch 142 |   0.0814   |
| epoch 143 |   0.0780   |
| epoch 144 |   0.0804   |
| epoch 145 |   0.0771   |
| epoch 146 |   0.0802   |
| epoch 147 |   0.0740   |
| epoch 148 |   0.0790   |
| epoch 149 |   0.0737   |
| epoch 150 |   0.0778   |
+-----------+------------+
