seed,AUC,AUPRC,F1,Sensitivity,Specificity,Accuracy,threshold
42,0.9406744605648776,0.9210171634611644,0.8442223305704535,0.8500245459008345,0.8843218869233438,0.8701219512195122,0.5778011107721172
52,0.940805022961443,0.9210425413799618,0.8469647400945111,0.8578792341678939,0.8813735691987513,0.8716463414634147,0.5664328748696054
62,0.9402977580388889,0.9202258396639129,0.8446127534815538,0.8485517918507609,0.8864030523759973,0.8707317073170732,0.5764281033119916
72,0.9412389183729175,0.9216685319948332,0.8481650275845527,0.8679430535100638,0.8737426292056886,0.8713414634146341,0.5656445992953095
82,0.9402871155220514,0.9205443341374778,0.8444981862152358,0.8571428571428571,0.8779049601109955,0.8693089430894309,0.5699571649923131
