,mean,std
AUC,0.9406606550920357,0.00039580524767253834
AUPRC,0.9208996821274701,0.0005490165316312726
F1,0.8456926075892615,0.0017667500933016731
Sensitivity,0.856308296514482,0.007716553525901698
Specificity,0.8807492195629554,0.0050572153967905
Accuracy,0.8706300813008129,0.0009424409040138199
threshold,0.5712527706482674,0.005613074064513874
