+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5608   |
|  epoch 2  |   0.4983   |
|  epoch 3  |   0.4745   |
|  epoch 4  |   0.4565   |
|  epoch 5  |   0.4383   |
|  epoch 6  |   0.4223   |
|  epoch 7  |   0.4093   |
|  epoch 8  |   0.3955   |
|  epoch 9  |   0.3827   |
|  epoch 10 |   0.3694   |
|  epoch 11 |   0.3555   |
|  epoch 12 |   0.3436   |
|  epoch 13 |   0.3315   |
|  epoch 14 |   0.3173   |
|  epoch 15 |   0.3050   |
|  epoch 16 |   0.2917   |
|  epoch 17 |   0.2822   |
|  epoch 18 |   0.2647   |
|  epoch 19 |   0.2528   |
|  epoch 20 |   0.2426   |
|  epoch 21 |   0.2324   |
|  epoch 22 |   0.2217   |
|  epoch 23 |   0.2106   |
|  epoch 24 |   0.1981   |
|  epoch 25 |   0.1922   |
|  epoch 26 |   0.1842   |
|  epoch 27 |   0.1809   |
|  epoch 28 |   0.1723   |
|  epoch 29 |   0.1664   |
|  epoch 30 |   0.1563   |
|  epoch 31 |   0.1537   |
|  epoch 32 |   0.1459   |
|  epoch 33 |   0.1440   |
|  epoch 34 |   0.1362   |
|  epoch 35 |   0.1286   |
|  epoch 36 |   0.1201   |
|  epoch 37 |   0.1189   |
|  epoch 38 |   0.1163   |
|  epoch 39 |   0.1103   |
|  epoch 40 |   0.1100   |
|  epoch 41 |   0.1057   |
|  epoch 42 |   0.1029   |
|  epoch 43 |   0.0942   |
|  epoch 44 |   0.0913   |
|  epoch 45 |   0.0908   |
|  epoch 46 |   0.0853   |
|  epoch 47 |   0.0862   |
|  epoch 48 |   0.0802   |
|  epoch 49 |   0.0814   |
|  epoch 50 |   0.0746   |
|  epoch 51 |   0.0722   |
|  epoch 52 |   0.0715   |
|  epoch 53 |   0.0692   |
|  epoch 54 |   0.0691   |
|  epoch 55 |   0.0653   |
|  epoch 56 |   0.0608   |
|  epoch 57 |   0.0613   |
|  epoch 58 |   0.0629   |
|  epoch 59 |   0.0603   |
|  epoch 60 |   0.0601   |
|  epoch 61 |   0.0610   |
|  epoch 62 |   0.0560   |
|  epoch 63 |   0.0559   |
|  epoch 64 |   0.0517   |
|  epoch 65 |   0.0560   |
|  epoch 66 |   0.0528   |
|  epoch 67 |   0.0451   |
|  epoch 68 |   0.0538   |
|  epoch 69 |   0.0486   |
|  epoch 70 |   0.0464   |
|  epoch 71 |   0.0433   |
|  epoch 72 |   0.0472   |
|  epoch 73 |   0.0450   |
|  epoch 74 |   0.0443   |
|  epoch 75 |   0.0423   |
|  epoch 76 |   0.0404   |
|  epoch 77 |   0.0476   |
|  epoch 78 |   0.0423   |
|  epoch 79 |   0.0459   |
|  epoch 80 |   0.0368   |
|  epoch 81 |   0.0376   |
|  epoch 82 |   0.0329   |
|  epoch 83 |   0.0436   |
|  epoch 84 |   0.0468   |
|  epoch 85 |   0.0365   |
|  epoch 86 |   0.0352   |
|  epoch 87 |   0.0334   |
|  epoch 88 |   0.0319   |
|  epoch 89 |   0.0373   |
|  epoch 90 |   0.0386   |
|  epoch 91 |   0.0376   |
|  epoch 92 |   0.0372   |
|  epoch 93 |   0.0297   |
|  epoch 94 |   0.0255   |
|  epoch 95 |   0.0315   |
|  epoch 96 |   0.0343   |
|  epoch 97 |   0.0371   |
|  epoch 98 |   0.0338   |
|  epoch 99 |   0.0340   |
| epoch 100 |   0.0319   |
| epoch 101 |   0.0337   |
| epoch 102 |   0.0277   |
| epoch 103 |   0.0302   |
| epoch 104 |   0.0275   |
| epoch 105 |   0.0298   |
| epoch 106 |   0.0322   |
| epoch 107 |   0.0339   |
| epoch 108 |   0.0253   |
| epoch 109 |   0.0231   |
| epoch 110 |   0.0268   |
| epoch 111 |   0.0237   |
| epoch 112 |   0.0265   |
| epoch 113 |   0.0349   |
| epoch 114 |   0.0370   |
| epoch 115 |   0.0308   |
| epoch 116 |   0.0247   |
| epoch 117 |   0.0279   |
| epoch 118 |   0.0239   |
| epoch 119 |   0.0193   |
| epoch 120 |   0.0223   |
| epoch 121 |   0.0225   |
| epoch 122 |   0.0313   |
| epoch 123 |   0.0273   |
| epoch 124 |   0.0271   |
| epoch 125 |   0.0277   |
| epoch 126 |   0.0245   |
| epoch 127 |   0.0301   |
| epoch 128 |   0.0256   |
| epoch 129 |   0.0265   |
| epoch 130 |   0.0233   |
| epoch 131 |   0.0216   |
| epoch 132 |   0.0183   |
| epoch 133 |   0.0260   |
| epoch 134 |   0.0225   |
| epoch 135 |   0.0208   |
| epoch 136 |   0.0212   |
| epoch 137 |   0.0260   |
| epoch 138 |   0.0212   |
| epoch 139 |   0.0205   |
| epoch 140 |   0.0212   |
| epoch 141 |   0.0203   |
| epoch 142 |   0.0226   |
| epoch 143 |   0.0238   |
| epoch 144 |   0.0220   |
| epoch 145 |   0.0207   |
| epoch 146 |   0.0185   |
| epoch 147 |   0.0203   |
| epoch 148 |   0.0219   |
| epoch 149 |   0.0172   |
| epoch 150 |   0.0202   |
+-----------+------------+
