Epoch	Time(sec)	Loss_train	val_AUROC	val_AUPRC	val_F1	val_Sensitivity	val_Specificity	val_Accuracy	test_AUROC	test_AUPRC	test_F1	test_Sensitivity	test_Specificity	test_Accuracy
1	98.77131099998951	13053.092556219548	0.6013177904780593	0.6051177676235512	0.5269631031220435	0.47203389830508474	0.7272069464544139	0.60967993754879	0.6411734990807925	0.6248121563347994	0.5464294418718011	0.511405109489051	0.7056631892697467	0.6183347005742412
1	101.40191120002419	13043.778001084924	0.6029734602271333	0.6104785127121244	0.532302092811647	0.4957627118644068	0.6866859623733719	0.5987509758001561	0.6422627635243182	0.6273496725526457	0.5603185757788709	0.5456204379562044	0.6717585692995529	0.6150533223954061
2	206.88562029995956	12135.654042254202	0.6156577301380952	0.6309457428156325	0.5077004779607011	0.40508474576271186	0.837192474674385	0.6381733021077284	0.6516556615575402	0.6447131621546804	0.5227711841015733	0.43202554744525545	0.819672131147541	0.6454060705496308
2	208.74940120009705	12135.118543554097	0.617448919522186	0.6335398764856947	0.512041884816754	0.41440677966101697	0.8256150506512301	0.6362217017954723	0.6504969636233098	0.645832611487464	0.529826464208243	0.44571167883211676	0.8066318926974665	0.6443806398687448
3	317.16878519998863	11799.310202316381	0.6209850008584955	0.6401106000722568	0.554945054945055	0.5135593220338983	0.7120115774240231	0.6206088992974239	0.6545943894340074	0.6526283441437937	0.5775375939849624	0.5606751824817519	0.6888971684053651	0.6312551271534045
3	319.050837200135	11774.290663887747	0.6199002305673428	0.6398488586074342	0.556663644605621	0.5203389830508475	0.7018813314037626	0.6182669789227166	0.6532631700969247	0.6523824904522445	0.5777880825411547	0.5684306569343066	0.6739940387481371	0.626538146021329
4	423.04744639992714	11589.451850918122	0.6248972871544556	0.6435422770849106	0.5498346717052432	0.49322033898305084	0.7431259044862518	0.6280249804839969	0.6575135705505455	0.657056489588449	0.573170731707317	0.5360401459854015	0.7269001490312966	0.6410992616899097
4	424.36473030014895	11579.47325007827	0.6254007334003777	0.6441164215664918	0.5573770491803278	0.5042372881355932	0.7395079594790159	0.6311475409836066	0.6576468284617142	0.6572880492196608	0.5755955274671852	0.5401459854014599	0.7250372578241431	0.6419196062346185
5	519.724290800048	11490.129671843257	0.623602798695087	0.6395104077097649	0.5400098183603338	0.4661016949152542	0.7778581765557163	0.6342701014832163	0.6557213026368749	0.6513165507141714	0.5612426788897377	0.5027372262773723	0.7641579731743666	0.646636587366694
5	531.1273362999782	11473.390141896904	0.6252596948661974	0.6412182218809657	0.5559808612440191	0.4923728813559322	0.7619392185238785	0.6377829820452772	0.6580300299422368	0.6551181694894392	0.5742623357302257	0.5282846715328468	0.7455290611028316	0.6478671041837571
